NYR | #60 R Alex Belzile 8475968
WSH | #80 L Pierre-Luc Dubois 8479400
WSH | #22 R Brandon Duhaime 8479520
WSH | #88 L Andrew Mangiapane 8478233
WSH | #15 L Sonny Milano 8477947
WSH | #77 R T.J. Oshie 8471698
WSH | #8 L Alex Ovechkin 8471214
WSH | #21 C Aliaksei Protas 8481656
WSH | #16 R Taylor Raddysh 8479390
WSH | #23 C Michael Sgarbossa 8475958
WSH | #17 C Dylan Strome 8478440
WSH | #43 R Tom Wilson 8476880
WSH | #27 D Alexander Alexeyev 8480823
WSH | #25 D Ethan Bear 8478451
WSH | #74 D John Carlson 8474590
WSH | #6 D Jakob Chychrun 8479345
WSH | #42 D Martin Fehervary 8480796
WSH | #3 D Matt Roy 8478911
WSH | #38 D Rasmus Sandin 8480873
WSH | #57 D Trevor van Riemsdyk 8477845
WSH | #79 G Charlie Lindgren 8479292
WSH | #48 G Logan Thompson 8480313
DET | #37 L J.T. Compher 8477456
DET | #18 C Andrew Copp 8477429
DET | #93 R Alex DeBrincat 8479337
DET | #36 R Christian Fischer 8478432
DET | #88 R Patrick Kane 8474141
DET | #71 C Dylan Larkin 8477946
PIT | #55 C Noel Acciari 8478569
MIN | #12 L Matt Boldy 8481557
PHI | #27 L Noah Cates 8480220
PHI | #14 C Sean Couturier 8476461
PHI | #44 L Nicolas Deslauriers 8475235
PHI | #86 L Joel Farabee 8480797
PHI | #71 R Tyson Foerster 8482159
PHI | #48 C Morgan Frost 8480028
PHI | #19 R Garnet Hathaway 8477903
NJD | #14 R Nathan Bastian 8479414
NJD | #63 L Jesper Bratt 8479407
NJD | #47 C Paul Cotter 8481032
NJD | #29 L Nolan Foote 8481518
NJD | #56 L Erik Haula 8475287
NJD | #13 C Nico Hischier 8480002
NJD | #86 C Jack Hughes 8481559
NJD | #42 C Curtis Lazar 8477508
NJD | #23 L Kurtis MacDermid 8477073
NJD | #28 R Timo Meier 8478414
NJD | #91 C Dawson Mercer 8482110
NJD | #11 R Stefan Noesen 8476474
NJD | #18 L Ondrej Palat 8476292
NJD | #90 L Tomas Tatar 8475193
NJD | #57 D Nick DeSimone 8480084
NJD | #5 D Brenden Dillon 8475455
NJD | #7 D Dougie Hamilton 8476462
NJD | #43 D Luke Hughes 8482684
NJD | #8 D Johnathan Kovacevic 8480192
NJD | #17 D Simon Nemec 8483495
NJD | #22 D Brett Pesce 8477488
NJD | #71 D Jonas Siegenthaler 8478399
NJD | #34 G Jake Allen 8474596
NJD | #25 G Jacob Markstrom 8474593
CGY | #11 C Mikael Backlund 8474150
CGY | #20 C Blake Coleman 8476399
CGY | #71 R Walker Duehr 8482652
CGY | #10 C Jonathan Huberdeau 8476456
CGY | #15 L Dryden Hunt 8478211
CGY | #91 C Nazem Kadri 8475172
CGY | #96 L Andrei Kuzmenko 8483808
CGY | #70 L Ryan Lomberg 8479066
CGY | #39 R Anthony Mantha 8477511
CGY | #76 C Martin Pospisil 8481028
CGY | #21 C Kevin Rooney 8479291
CGY | #17 C Yegor Sharangovich 8481068
CGY | #47 C Connor Zary 8482074
CGY | #4 D Rasmus Andersson 8478397
CGY | #7 D Kevin Bahl 8480860
CGY | #24 D Jake Bean 8479402
CGY | #44 D Joel Hanley 8477810
CGY | #62 D Daniil Miromanov 8482624
CGY | #28 D Nikita Okhotiuk 8481537
CGY | #94 D Brayden Pachal 8481167
CGY | #98 D Ilya Solovyov 8482470
CGY | #52 D MacKenzie Weegar 8477346
CGY | #1 G Devin Cooley 8482445
CGY | #80 G Dan Vladar 8478435
CGY | #32 G Dustin Wolf 8481692
SEA | #10 C Matty Beniers 8482665
SEA | #22 R Oliver Bjorkstrand 8477416
SEA | #95 L Andre Burakovsky 8477444
SEA | #7 R Jordan Eberle 8474586
SEA | #37 C Yanni Gourde 8476826
SEA | #52 L Tye Kartye 8481789
SEA | #19 L Jared McCann 8477955
OTT | #22 C Michael Amadio 8478020
OTT | #19 R Drake Batherson 8480208
OTT | #28 R Claude Giroux 8473512
MTL | #17 R Josh Anderson 8476981
MTL | #40 R Joel Armia 8476469
MTL | #22 R Cole Caufield 8481540
MTL | #77 C Kirby Dach 8481523
MTL | #28 C Christian Dvorak 8477989
MTL | #71 C Jake Evans 8478133
MTL | #11 R Brendan Gallagher 8475848
MTL | #49 L Rafael Harvey-Pinard 8481093
MTL | #15 C Alex Newhook 8481618
MTL | #55 L Michael Pezzetta 8479543
MTL | #20 L Juraj Slafkovsky 8483515
MTL | #14 C Nick Suzuki 8480018
MTL | #21 D Kaiden Guhle 8482087
MTL | #54 D Jordan Harris 8480887
MTL | #48 D Lane Hutson 8483457
MTL | #8 D Mike Matheson 8476875
MTL | #58 D David Savard 8475233
MTL | #72 D Arber Xhekaj 8482964
MTL | #35 G Sam Montembeault 8478470
MTL | #30 G Cayden Primeau 8480051
CBJ | #45 C Gavin Brindley 8484149
CBJ | #59 R Yegor Chinakhov 8482475
CBJ | #17 R Justin Danforth 8479941
CBJ | #19 C Adam Fantilli 8484166
ANA | #91 C Leo Carlsson 8484153
ANA | #64 R Sam Colangelo 8482118
CHI | #15 R Joey Anderson 8479315
CHI | #89 C Andreas Athanasiou 8476960
CHI | #98 C Connor Bedard 8484144
SJS | #90 R Justin Bailey 8477473
SJS | #17 C Thomas Bordeleau 8482133
SJS | #39 C Logan Couture 8474053
SJS | #72 L William Eklund 8482667
SJS | #23 R Barclay Goodrow 8476624
SJS | #51 R Collin Graf 8484911
SJS | #64 C Mikael Granlund 8475798
SJS | #10 C Klim Kostin 8480011
SJS | #11 C Luke Kunin 8479316
SJS | #54 R Givani Smith 8479379
SJS | #7 C Nico Sturm 8481477
